epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,484.011,0.90151,0.3848,0.89897,0.99855,1,0.995,0.74186,1.04735,0.35902,0.96645,0.000957358,0.000957358,0.000957358
45,494.959,0.9017,0.38946,0.89974,0.99832,1,0.995,0.73742,1.02531,0.35585,0.96481,0.000940855,0.000940855,0.000940855
46,506.005,0.89484,0.38264,0.88839,0.99844,1,0.995,0.72663,1.0138,0.35429,0.95309,0.000924352,0.000924352,0.000924352
47,517.054,0.88033,0.37751,0.89276,0.99887,1,0.995,0.76162,0.9902,0.34281,0.94706,0.000907848,0.000907848,0.000907848
48,528.247,0.88533,0.38583,0.88753,0.99885,1,0.995,0.75485,1.01093,0.34609,0.9536,0.000891345,0.000891345,0.000891345
49,539.244,0.88913,0.38052,0.89224,0.99888,1,0.995,0.74891,0.9974,0.3531,0.95044,0.000874842,0.000874842,0.000874842
50,550.21,0.892,0.37388,0.89584,0.99877,1,0.995,0.74168,1.01204,0.35348,0.94891,0.000858338,0.000858338,0.000858338
51,561.189,0.87272,0.37639,0.88248,0.99939,1,0.995,0.74618,1.0295,0.36538,0.95566,0.000841835,0.000841835,0.000841835
52,572.272,0.86823,0.36765,0.88461,0.99916,1,0.995,0.75958,0.97727,0.33263,0.93792,0.000825332,0.000825332,0.000825332
53,583.152,0.86347,0.36443,0.89181,0.99903,1,0.995,0.75574,1.01763,0.36511,0.95418,0.000808828,0.000808828,0.000808828
54,594.078,0.85452,0.36668,0.88882,0.9989,1,0.995,0.74461,1.0214,0.34334,0.95503,0.000792325,0.000792325,0.000792325
55,605.003,0.87522,0.36046,0.89845,0.99787,1,0.995,0.75549,0.99123,0.34634,0.94306,0.000775822,0.000775822,0.000775822
56,615.903,0.87949,0.36543,0.89382,0.99936,1,0.995,0.74559,1.03379,0.34752,0.95541,0.000759318,0.000759318,0.000759318
57,626.777,0.85732,0.36248,0.89505,0.99942,1,0.995,0.74491,1.03591,0.35191,0.95906,0.000742815,0.000742815,0.000742815
58,637.643,0.85506,0.35745,0.88253,0.99935,1,0.995,0.75284,1.01474,0.33867,0.95518,0.000726312,0.000726312,0.000726312
59,648.645,0.84864,0.35469,0.8781,0.99942,1,0.995,0.75426,1.021,0.3416,0.95488,0.000709809,0.000709809,0.000709809
60,659.543,0.84881,0.35425,0.88792,0.99914,1,0.995,0.74226,1.04831,0.33896,0.9654,0.000693305,0.000693305,0.000693305
