epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,177.71,0.92648,0.42037,0.89447,0.99904,1,0.995,0.73117,1.07735,0.39545,0.97514,0.000957358,0.000957358,0.000957358
45,181.707,0.92672,0.41781,0.89746,0.99873,1,0.995,0.75046,0.99382,0.36855,0.94467,0.000940855,0.000940855,0.000940855
46,185.72,0.92306,0.41118,0.88673,0.99882,1,0.995,0.75093,1.01779,0.37038,0.94805,0.000924352,0.000924352,0.000924352
47,190.013,0.91199,0.40871,0.89078,0.99887,1,0.995,0.75798,0.99616,0.37061,0.94372,0.000907848,0.000907848,0.000907848
48,195.143,0.90873,0.41713,0.8855,0.99892,1,0.995,0.75046,1.02753,0.36476,0.9557,0.000891345,0.000891345,0.000891345
49,199.775,0.91129,0.40765,0.88831,0.99883,1,0.995,0.76319,0.98625,0.38495,0.94328,0.000874842,0.000874842,0.000874842
50,203.805,0.91738,0.41484,0.89373,0.99339,0.99868,0.995,0.74668,1.03203,0.38156,0.95474,0.000858338,0.000858338,0.000858338
51,207.779,0.90207,0.40862,0.87877,0.99897,1,0.995,0.76045,1.00794,0.36358,0.94398,0.000841835,0.000841835,0.000841835
52,211.739,0.90265,0.40314,0.88502,0.9984,1,0.995,0.74461,1.02003,0.3621,0.95292,0.000825332,0.000825332,0.000825332
53,215.698,0.89233,0.39513,0.89001,0.99888,1,0.995,0.73895,1.07106,0.36686,0.9668,0.000808828,0.000808828,0.000808828
54,219.702,0.90411,0.3984,0.88872,0.99871,1,0.995,0.74688,1.00492,0.35765,0.9458,0.000792325,0.000792325,0.000792325
55,223.674,0.89766,0.38928,0.89524,0.99872,1,0.995,0.75241,1.01021,0.36623,0.94538,0.000775822,0.000775822,0.000775822
56,227.628,0.89605,0.39287,0.88761,0.97436,0.9993,0.995,0.76236,0.99744,0.37956,0.93619,0.000759318,0.000759318,0.000759318
57,231.637,0.90462,0.40216,0.89378,0.992,1,0.995,0.72269,1.07049,0.38123,0.97157,0.000742815,0.000742815,0.000742815
58,235.672,0.89584,0.39835,0.88162,0.99873,1,0.995,0.74716,1.01873,0.35808,0.94497,0.000726312,0.000726312,0.000726312
59,239.751,0.87244,0.38116,0.87539,0.9994,1,0.995,0.75615,1.00292,0.3471,0.94397,0.000709809,0.000709809,0.000709809
60,244.163,0.87805,0.38885,0.88556,0.99884,1,0.995,0.74178,1.0236,0.36558,0.95517,0.000693305,0.000693305,0.000693305
