epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.032,1.97849,0.76806,1.81056,0.99195,0.98747,0.99485,0.73089,2.1546,0.6679,1.96224,0.000990365,0.000990365,0.000990365
43,229.472,1.95728,0.77491,1.8013,0.95692,0.98327,0.99164,0.71807,2.19315,0.75922,1.96659,0.000973861,0.000973861,0.000973861
44,234.918,1.93677,0.755,1.80318,0.99227,0.99038,0.99491,0.74295,2.0643,0.63009,1.91863,0.000957358,0.000957358,0.000957358
45,240.245,1.95541,0.76676,1.81004,0.99816,0.99098,0.99492,0.73448,2.16147,0.66088,1.94555,0.000940855,0.000940855,0.000940855
46,245.703,1.94219,0.7473,1.78765,0.99874,0.99624,0.995,0.74829,2.03907,0.63916,1.90333,0.000924352,0.000924352,0.000924352
47,251.007,1.89417,0.74414,1.791,0.99768,0.99959,0.995,0.75024,2.07319,0.63661,1.91093,0.000907848,0.000907848,0.000907848
48,256.382,1.87217,0.74246,1.7759,0.99612,0.9859,0.995,0.74455,2.11272,0.63579,1.91121,0.000891345,0.000891345,0.000891345
49,261.724,1.90761,0.7388,1.78638,0.98821,1,0.99491,0.74435,2.03324,0.60961,1.89138,0.000874842,0.000874842,0.000874842
50,266.974,1.92341,0.75031,1.80468,1,0.99684,0.995,0.74757,2.07902,0.61778,1.90894,0.000858338,0.000858338,0.000858338
51,272.449,1.85954,0.73132,1.76797,0.9942,0.975,0.9946,0.74942,2.03188,0.62593,1.90005,0.000841835,0.000841835,0.000841835
52,277.747,1.85988,0.713,1.77797,0.99381,0.99743,0.995,0.7557,2.02717,0.60662,1.89997,0.000825332,0.000825332,0.000825332
53,282.984,1.86606,0.70998,1.7951,0.98918,0.97024,0.99364,0.73362,2.14732,0.66612,1.93091,0.000808828,0.000808828,0.000808828
54,288.192,1.85064,0.69929,1.78459,0.99249,1,0.995,0.73291,2.1488,0.63902,1.92904,0.000792325,0.000792325,0.000792325
55,293.442,1.90884,0.70107,1.8034,0.99731,0.97463,0.99444,0.74838,2.05351,0.62246,1.90363,0.000775822,0.000775822,0.000775822
56,298.835,1.88399,0.71453,1.79089,0.98697,0.99833,0.995,0.74551,2.06555,0.62525,1.902,0.000759318,0.000759318,0.000759318
57,304.082,1.88655,0.74316,1.80435,0.99234,0.98324,0.99483,0.72738,2.15,0.6401,1.94178,0.000742815,0.000742815,0.000742815
58,309.343,1.85202,0.7165,1.773,0.99558,0.99817,0.995,0.73921,2.09607,0.62156,1.91345,0.000726312,0.000726312,0.000726312
59,314.661,1.81191,0.67095,1.7602,0.99804,0.98915,0.995,0.74323,2.11771,0.62515,1.92964,0.000709809,0.000709809,0.000709809
