epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.955,1.99666,0.7361,1.82388,0.99712,0.99038,0.99473,0.73734,2.09843,0.65384,1.93646,0.00132868,0.00132868,0.00132868
43,287.583,1.9635,0.72839,1.81298,0.9959,0.99038,0.99491,0.74129,2.07177,0.61635,1.91812,0.00132043,0.00132043,0.00132043
44,294.388,1.94135,0.72346,1.8107,0.99543,0.99923,0.995,0.71531,2.23625,0.67167,1.98235,0.00131218,0.00131218,0.00131218
45,301.011,1.96533,0.74695,1.82264,0.98882,0.99906,0.99455,0.7476,2.04197,0.61713,1.91733,0.00130393,0.00130393,0.00130393
46,307.651,1.92533,0.72009,1.79042,0.98716,0.98485,0.9947,0.74268,2.02792,0.64903,1.90995,0.00129568,0.00129568,0.00129568
47,314.28,1.8926,0.71788,1.79913,0.99697,0.98991,0.99492,0.74309,2.08533,0.62133,1.92648,0.00128742,0.00128742,0.00128742
48,320.901,1.89384,0.73018,1.78904,0.99901,1,0.995,0.73789,2.125,0.62839,1.94944,0.00127917,0.00127917,0.00127917
49,327.584,1.92625,0.73257,1.80173,0.99772,1,0.995,0.75582,2.04598,0.60428,1.90832,0.00127092,0.00127092,0.00127092
50,334.352,1.96238,0.7347,1.82094,0.99873,0.99553,0.995,0.72801,2.1761,0.63699,1.94126,0.00126267,0.00126267,0.00126267
51,340.979,1.87721,0.71681,1.78119,0.99416,1,0.995,0.75251,2.03172,0.60746,1.89671,0.00125442,0.00125442,0.00125442
52,347.608,1.88858,0.70332,1.79202,0.98792,0.99964,0.995,0.74884,2.05386,0.60301,1.91915,0.00124617,0.00124617,0.00124617
53,354.237,1.88335,0.71872,1.80367,0.97881,0.98818,0.9939,0.73802,2.09063,0.70649,1.92924,0.00123791,0.00123791,0.00123791
54,360.866,1.87155,0.69212,1.7966,0.99838,1,0.995,0.73297,2.09949,0.61177,1.9255,0.00122966,0.00122966,0.00122966
55,367.657,1.94344,0.69276,1.81755,0.99229,0.98035,0.99451,0.73258,2.12647,0.66007,1.93583,0.00122141,0.00122141,0.00122141
56,374.292,1.95282,0.71401,1.81282,0.99593,0.99038,0.99481,0.74502,2.07392,0.64176,1.90593,0.00121316,0.00121316,0.00121316
57,380.906,1.89967,0.7162,1.81703,0.98844,0.99231,0.99483,0.73321,2.14387,0.63195,1.94212,0.00120491,0.00120491,0.00120491
58,387.541,1.87938,0.69823,1.7889,0.99633,0.98757,0.99478,0.73947,2.10502,0.65678,1.94106,0.00119666,0.00119666,0.00119666
59,394.292,1.85086,0.66197,1.77538,0.98658,0.98544,0.99485,0.75329,2.06851,0.66472,1.91498,0.0011884,0.0011884,0.0011884
60,400.933,1.84318,0.68217,1.79547,0.99819,1,0.995,0.73321,2.14886,0.6308,1.94285,0.00118015,0.00118015,0.00118015
61,407.555,1.87559,0.70247,1.79406,0.99509,0.9992,0.995,0.73313,2.07545,0.59573,1.91802,0.0011719,0.0011719,0.0011719
62,414.201,1.90008,0.68724,1.79381,0.99571,1,0.995,0.73584,2.0834,0.63033,1.93166,0.00116365,0.00116365,0.00116365
63,420.834,1.86979,0.67323,1.79203,0.99521,0.99024,0.99491,0.74355,2.08804,0.62065,1.92642,0.0011554,0.0011554,0.0011554
64,427.635,1.85597,0.68944,1.7876,1,0.99548,0.995,0.7565,2.02441,0.60304,1.89725,0.00114715,0.00114715,0.00114715
65,434.31,1.83975,0.67922,1.80358,0.99648,0.9989,0.995,0.74197,2.04328,0.60625,1.90748,0.00113889,0.00113889,0.00113889
66,440.953,1.84234,0.66899,1.77933,0.99793,0.99969,0.995,0.75322,2.01696,0.59939,1.90256,0.00113064,0.00113064,0.00113064
67,447.653,1.8479,0.67743,1.79816,0.99234,0.99849,0.995,0.74622,1.98029,0.61032,1.89065,0.00112239,0.00112239,0.00112239
68,454.288,1.8414,0.68328,1.77793,0.99545,1,0.995,0.75727,2.009,0.59626,1.90214,0.00111414,0.00111414,0.00111414
69,460.977,1.85636,0.67206,1.79424,0.99928,0.99328,0.995,0.76735,1.95845,0.58342,1.88219,0.00110589,0.00110589,0.00110589
70,467.821,1.79411,0.65455,1.78633,0.99288,1,0.995,0.75829,2.05076,0.60384,1.91248,0.00109764,0.00109764,0.00109764
71,474.475,1.82185,0.66369,1.78004,0.99858,0.99868,0.995,0.7569,1.99246,0.58702,1.89984,0.00108938,0.00108938,0.00108938
72,481.19,1.79787,0.64844,1.76405,0.99926,0.99637,0.995,0.75919,2.0294,0.59938,1.90716,0.00108113,0.00108113,0.00108113
73,487.884,1.80485,0.65528,1.77272,0.99741,1,0.995,0.74849,2.03194,0.58719,1.89581,0.00107288,0.00107288,0.00107288
74,494.567,1.84062,0.66325,1.78985,0.98739,0.98857,0.99414,0.74896,2.06684,0.69251,1.92003,0.00106463,0.00106463,0.00106463
75,501.332,1.82949,0.66543,1.7858,0.99644,0.99966,0.995,0.74632,2.0904,0.60769,1.93841,0.00105638,0.00105638,0.00105638
76,507.969,1.8026,0.64481,1.78005,0.99576,0.99914,0.995,0.74734,2.05224,0.59725,1.90256,0.00104813,0.00104813,0.00104813
77,514.592,1.82975,0.66371,1.7901,0.99749,1,0.995,0.74441,2.04305,0.58709,1.91329,0.00103987,0.00103987,0.00103987
78,521.237,1.862,0.67063,1.77945,0.9976,0.99982,0.995,0.74235,2.07324,0.58938,1.91707,0.00103162,0.00103162,0.00103162
79,527.887,1.79498,0.65483,1.75861,0.99853,0.99387,0.995,0.75684,2.01487,0.58553,1.89619,0.00102337,0.00102337,0.00102337
80,534.657,1.83718,0.64634,1.76803,0.98965,0.98586,0.99476,0.74679,2.0281,0.623,1.90823,0.00101512,0.00101512,0.00101512
81,541.35,1.80025,0.6496,1.76468,0.9975,0.98462,0.9947,0.74428,2.02623,0.61468,1.89871,0.00100687,0.00100687,0.00100687
82,548.003,1.79814,0.64945,1.76437,0.99078,0.99231,0.99485,0.75931,1.98418,0.59289,1.89524,0.000998616,0.000998616,0.000998616
83,554.679,1.79409,0.65966,1.7766,0.94785,0.98193,0.99237,0.73526,2.08479,0.75712,1.92456,0.000990365,0.000990365,0.000990365
84,561.479,1.80857,0.66501,1.77222,0.9977,1,0.995,0.73518,2.09761,0.60146,1.92234,0.000982113,0.000982113,0.000982113
85,568.115,1.76417,0.63292,1.78525,0.99875,1,0.995,0.749,2.05637,0.59711,1.91203,0.000973861,0.000973861,0.000973861
86,574.859,1.81176,0.64378,1.77866,0.99672,1,0.995,0.72865,2.09815,0.5948,1.93245,0.00096561,0.00096561,0.00096561
87,581.6,1.76376,0.639,1.76687,0.99897,0.99348,0.995,0.74099,2.10029,0.61294,1.92994,0.000957358,0.000957358,0.000957358
88,588.294,1.74957,0.62259,1.75458,0.99633,0.99016,0.99481,0.74501,2.03286,0.59373,1.90227,0.000949106,0.000949106,0.000949106
89,594.951,1.79229,0.65464,1.75964,0.99846,1,0.995,0.74076,2.0838,0.60026,1.91908,0.000940855,0.000940855,0.000940855
90,601.787,1.73939,0.63912,1.75775,0.99593,1,0.995,0.74492,2.05682,0.60996,1.91131,0.000932603,0.000932603,0.000932603
91,608.476,1.76325,0.66413,1.76135,0.98943,1,0.99491,0.74644,2.03475,0.60076,1.89536,0.000924352,0.000924352,0.000924352
