epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,289.939,1.94451,0.73132,1.81154,0.9721,0.99774,0.99425,0.73077,2.10758,0.65043,1.93222,0.000973861,0.000973861,0.000973861
44,296.734,1.92434,0.72484,1.80604,0.98738,0.9916,0.99491,0.74413,2.1096,0.63898,1.94019,0.000957358,0.000957358,0.000957358
45,303.375,1.90291,0.70037,1.80983,0.99429,0.99903,0.995,0.74963,2.08098,0.61155,1.9333,0.000940855,0.000940855,0.000940855
46,310.032,1.86567,0.67726,1.7798,0.99459,1,0.995,0.75546,2.02079,0.60116,1.90123,0.000924352,0.000924352,0.000924352
47,316.755,1.84801,0.69179,1.78831,0.99566,0.98935,0.99491,0.7528,2.04461,0.60825,1.90921,0.000907848,0.000907848,0.000907848
48,323.47,1.87781,0.7201,1.78002,0.99869,0.99946,0.995,0.73212,2.18726,0.63441,1.95603,0.000891345,0.000891345,0.000891345
49,330.155,1.88566,0.69201,1.79383,0.99804,1,0.995,0.74856,2.04601,0.59817,1.90674,0.000874842,0.000874842,0.000874842
50,336.936,1.86,0.70069,1.80064,0.99177,0.98644,0.99481,0.74758,2.0641,0.61911,1.91506,0.000858338,0.000858338,0.000858338
51,343.661,1.82753,0.67129,1.76978,0.98423,0.999,0.99472,0.74803,2.0316,0.6135,1.89871,0.000841835,0.000841835,0.000841835
52,350.334,1.84772,0.68362,1.78288,0.9918,0.98817,0.99463,0.74679,2.05504,0.63975,1.91094,0.000825332,0.000825332,0.000825332
53,356.989,1.83164,0.67277,1.79195,0.98916,0.97846,0.99431,0.72848,2.15716,0.67176,1.95169,0.000808828,0.000808828,0.000808828
54,363.777,1.80489,0.66301,1.78562,0.98111,1,0.99492,0.74575,2.03886,0.60825,1.90833,0.000792325,0.000792325,0.000792325
55,370.426,1.83053,0.66146,1.79703,0.98935,0.9993,0.99491,0.76009,1.98708,0.60593,1.89395,0.000775822,0.000775822,0.000775822
56,377.14,1.85516,0.66778,1.79303,0.96406,0.99954,0.99371,0.74448,2.07832,0.63029,1.91907,0.000759318,0.000759318,0.000759318
57,383.788,1.83639,0.68167,1.80081,0.99806,0.99852,0.995,0.73119,2.10135,0.61812,1.93886,0.000742815,0.000742815,0.000742815
58,390.598,1.80757,0.65854,1.77335,0.99238,0.9965,0.99492,0.76163,1.97025,0.60353,1.87766,0.000726312,0.000726312,0.000726312
59,397.317,1.76612,0.62768,1.76109,0.99885,0.95863,0.99387,0.74909,2.06404,0.62757,1.91555,0.000709809,0.000709809,0.000709809
60,403.975,1.79478,0.65459,1.78562,0.9968,0.99315,0.995,0.73756,2.0912,0.62384,1.93425,0.000693305,0.000693305,0.000693305
61,410.604,1.81046,0.67,1.77824,0.99042,0.98423,0.99476,0.74126,2.02028,0.61026,1.90842,0.000676802,0.000676802,0.000676802
62,417.271,1.81737,0.65758,1.77619,0.98991,0.99951,0.99491,0.74666,2.06349,0.60684,1.9204,0.000660299,0.000660299,0.000660299
63,424.068,1.81966,0.65309,1.78332,0.9945,0.99922,0.995,0.7425,2.06246,0.59475,1.91211,0.000643795,0.000643795,0.000643795
64,430.758,1.79711,0.64181,1.77376,0.99746,0.99038,0.99491,0.75222,2.05497,0.59745,1.90471,0.000627292,0.000627292,0.000627292
65,437.401,1.77065,0.64703,1.79102,0.98286,0.9948,0.99491,0.76385,2.00102,0.58972,1.8991,0.000610789,0.000610789,0.000610789
66,444.122,1.7571,0.61989,1.76219,0.99266,0.99796,0.995,0.76167,1.96591,0.56796,1.89553,0.000594286,0.000594286,0.000594286
67,450.909,1.76412,0.63124,1.78084,0.9985,1,0.995,0.76323,1.95148,0.56825,1.88584,0.000577782,0.000577782,0.000577782
68,457.633,1.77474,0.6401,1.76359,0.99058,1,0.99492,0.75852,1.98739,0.58008,1.90157,0.000561279,0.000561279,0.000561279
